Sample,CATEGORY,TOTAL_READS,PF_READS,PCT_PF_READS,PF_NOISE_READS,PF_READS_ALIGNED,PCT_PF_READS_ALIGNED,PF_ALIGNED_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_MEDIAN_MISMATCHES,PF_MISMATCH_RATE,PF_HQ_ERROR_RATE,PF_INDEL_RATE,MEAN_READ_LENGTH,SD_READ_LENGTH,MEDIAN_READ_LENGTH,MAD_READ_LENGTH,MIN_READ_LENGTH,MAX_READ_LENGTH,MEAN_ALIGNED_READ_LENGTH,READS_ALIGNED_IN_PAIRS,PCT_READS_ALIGNED_IN_PAIRS,PF_READS_IMPROPER_PAIRS,PCT_PF_READS_IMPROPER_PAIRS,BAD_CYCLES,STRAND_BALANCE,PCT_CHIMERAS,PCT_ADAPTER,PCT_SOFTCLIP,PCT_HARDCLIP,AVG_POS_3PRIME_SOFTCLIP_LENGTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO032,PAIR,198097370,197458366,0.996774,0,197454887,0.999982,29085334183,190167593,28019516779,27769829356,31,0.220628,0.220669,0.000318,147.419122,7.589955,150,0,80,150,147.330083,197452908,0.99999,210311,0.001065,0,0.499996,0.001099,0,0.000587,0,32.017458,,,
CAP41WGS_MO032,SECOND_OF_PAIR,99048685,98729183,0.996774,0,98726618,0.999974,14533828301,95080546,14001047416,13851798882,31,0.221834,0.221865,0.000317,147.381168,7.615134,150,0,80,150,147.240291,98726454,0.999998,104330,0.001057,0,0.501295,0.00131,0,0.000931,0,36.271901,,,
CAP41WGS_MO032,FIRST_OF_PAIR,99048685,98729183,0.996774,0,98728269,0.999991,14551505882,95087047,14018469363,13918030474,31,0.219424,0.219474,0.000318,147.457076,7.564501,150,0,80,150,147.419876,98726454,0.999982,105981,0.001073,0,0.498697,0.000887,0,0.000243,0,23.414333,,,
CAP41WGS_MO033,SECOND_OF_PAIR,99731221,99441888,0.997099,0,99439690,0.999978,14546065218,95624451,13993995348,13854659679,31,0.222241,0.222265,0.000322,146.437464,9.202106,150,0,80,150,146.308477,99439566,0.999999,96135,0.000967,0,0.501518,0.001132,0,0.00086,0,35.352548,,,
CAP41WGS_MO033,FIRST_OF_PAIR,99731221,99441888,0.997099,0,99441351,0.999995,14561711202,95632225,14009585785,13908884608,31,0.22007,0.220115,0.000323,146.501097,9.181992,150,0,80,150,146.466366,99439566,0.999982,97796,0.000983,0,0.498478,0.000789,0,0.000232,0,23.162698,,,
CAP41WGS_MO033,PAIR,199462442,198883776,0.997099,0,198881041,0.999986,29107776420,191256676,28003581133,27763544287,31,0.221155,0.221189,0.000323,146.46928,9.192109,150,0,80,150,146.387421,198879132,0.99999,193931,0.000975,0,0.499998,0.000961,0,0.000546,0,31.399272,,,
CAP41WGS_MO034,PAIR,198806542,197441972,0.993136,0,197438690,0.999983,28846840631,189772468,27739714523,27498680746,32,0.225768,0.225768,0.000313,146.30052,9.579061,150,0,80,150,146.134345,197436568,0.999989,436838,0.002213,0,0.499996,0.002656,0,0.00112,0,34.390795,,,
CAP41WGS_MO034,SECOND_OF_PAIR,99403271,98720986,0.993136,0,98718399,0.999974,14409877926,94881083,13856593848,13709282721,32,0.226995,0.226987,0.000313,146.267637,9.589102,150,0,80,150,145.997103,98718284,0.999999,217473,0.002203,0,0.501454,0.003253,0,0.001825,0,41.23295,,,
CAP41WGS_MO034,FIRST_OF_PAIR,99403271,98720986,0.993136,0,98720291,0.999993,14436962705,94891385,13883120675,13789398025,32,0.224542,0.224553,0.000312,146.333403,9.568896,150,0,80,150,146.271587,98718284,0.99998,219365,0.002222,0,0.498538,0.00206,0,0.000415,0,24.214236,,,
CAP41WGS_MO035,PAIR,199384728,197438522,0.990239,0,197435527,0.999985,28859648449,189718833,27744542743,27513167518,31,0.222825,0.222817,0.00033,146.414903,9.421225,150,0,80,150,146.202969,197433362,0.999989,702319,0.003557,0,0.499992,0.004168,0,0.001433,0,36.743194,,,
