Sample,ACCUMULATION_LEVEL,READS_USED,GC,WINDOWS,READ_STARTS,MEAN_BASE_QUALITY,NORMALIZED_COVERAGE,ERROR_BAR_WIDTH,SAMPLE,LIBRARY,READ_GROUP
CAP41WGS_MO026,All Reads,UNIQUE,92,9922,622,4,1.828457,0.073314,,,
CAP41WGS_MO026,All Reads,UNIQUE,93,6255,469,4,2.186951,0.100984,,,
CAP41WGS_MO026,All Reads,UNIQUE,94,3553,432,6,3.546354,0.170624,,,
CAP41WGS_MO026,All Reads,UNIQUE,95,1701,569,8,9.756667,0.409021,,,
CAP41WGS_MO026,All Reads,UNIQUE,96,986,349,9,10.323858,0.552623,,,
CAP41WGS_MO026,All Reads,UNIQUE,97,658,1132,10,50.178083,1.491389,,,
CAP41WGS_MO026,All Reads,UNIQUE,98,328,1493,10,132.763744,3.435972,,,
CAP41WGS_MO026,All Reads,UNIQUE,99,133,318,11,69.737923,3.910709,,,
CAP41WGS_MO026,All Reads,UNIQUE,100,339,1,2,0.086039,0.086039,,,
CAP41WGS_MO026,All Reads,UNIQUE,79,712822,133726,5,5.471776,0.014963,,,
CAP41WGS_MO026,All Reads,UNIQUE,78,817829,165258,5,5.893774,0.014498,,,
CAP41WGS_MO026,All Reads,UNIQUE,77,919915,199412,5,6.322621,0.014159,,,
CAP41WGS_MO026,All Reads,UNIQUE,76,1047677,238659,5,6.644219,0.013601,,,
CAP41WGS_MO026,All Reads,UNIQUE,54,48882375,3040802,6,1.814385,0.00104,,,
CAP41WGS_MO026,All Reads,UNIQUE,55,45201564,2957918,6,1.90865,0.00111,,,
CAP41WGS_MO026,All Reads,UNIQUE,56,41654980,2868589,6,2.008607,0.001186,,,
CAP41WGS_MO026,All Reads,UNIQUE,57,37884218,2761950,6,2.12643,0.00128,,,
CAP41WGS_MO026,All Reads,UNIQUE,58,33727560,2656469,6,2.297277,0.001409,,,
CAP41WGS_MO026,All Reads,UNIQUE,59,29225947,2529188,6,2.524097,0.001587,,,
CAP41WGS_MO026,All Reads,UNIQUE,60,24712094,2391430,6,2.82255,0.001825,,,
CAP41WGS_MO026,All Reads,UNIQUE,61,20544801,2241381,6,3.182052,0.002125,,,
CAP41WGS_MO026,All Reads,UNIQUE,62,16987338,2078377,6,3.568556,0.002475,,,
CAP41WGS_MO026,All Reads,UNIQUE,63,14048460,1908496,6,3.962379,0.002868,,,
CAP41WGS_MO026,All Reads,UNIQUE,52,57747767,3201003,6,1.616756,0.000904,,,
CAP41WGS_MO026,All Reads,UNIQUE,64,11623423,1744832,6,4.378376,0.003315,,,
CAP41WGS_MO026,All Reads,UNIQUE,66,7922087,1402433,5,5.163403,0.00436,,,
CAP41WGS_MO026,All Reads,UNIQUE,67,6448434,1228008,5,5.554442,0.005012,,,
CAP41WGS_MO026,All Reads,UNIQUE,68,5168154,1057376,5,5.967433,0.005803,,,
CAP41WGS_MO026,All Reads,UNIQUE,69,4144924,902814,5,6.352947,0.006686,,,
CAP41WGS_MO026,All Reads,UNIQUE,70,3331053,758483,5,6.641372,0.007626,,,
CAP41WGS_MO026,All Reads,UNIQUE,71,2669917,625518,5,6.83338,0.00864,,,
CAP41WGS_MO026,All Reads,UNIQUE,72,2160214,517057,5,6.981282,0.009709,,,
CAP41WGS_MO026,All Reads,UNIQUE,73,1761175,428820,5,7.101761,0.010845,,,
CAP41WGS_MO026,All Reads,UNIQUE,74,1450253,353173,5,7.102925,0.011952,,,
CAP41WGS_MO026,All Reads,UNIQUE,75,1217720,291415,5,6.980041,0.01293,,,
CAP41WGS_MO026,All Reads,UNIQUE,65,9600303,1568336,6,4.764833,0.003805,,,
CAP41WGS_MO026,All Reads,UNIQUE,0,137628,1695,7,0.359217,0.008725,,,
CAP41WGS_MO026,All Reads,UNIQUE,49,71799062,3357945,7,1.364107,0.000744,,,
CAP41WGS_MO026,All Reads,ALL,99,133,328,11,36.417794,2.010836,,,
CAP41WGS_MO026,All Reads,ALL,27,55200587,509502,9,0.136299,0.000191,,,
CAP41WGS_MO026,All Reads,ALL,28,63970372,686823,9,0.158547,0.000191,,,
CAP41WGS_MO026,All Reads,ALL,29,72520266,906612,8,0.184609,0.000194,,,
CAP41WGS_MO026,All Reads,ALL,30,80672875,1169346,8,0.214046,0.000198,,,
CAP41WGS_MO026,All Reads,ALL,31,88276440,1484586,8,0.248343,0.000204,,,
CAP41WGS_MO026,All Reads,ALL,32,95175441,1835789,8,0.284832,0.00021,,,
